candidate_id,pattern_name,description,params,hold_days,split_count,train_sharpe,train_cagr,train_mdd,oos_sharpe,oos_cagr,oos_mdd,oos_avg_return,oos_hit_rate,oos_turnover,oos_num_trades,oos_consistency,train_range,test_range,market_filter_status,oos_short_avg_return,oos_long_avg_return,oos_short_hit_rate,oos_long_hit_rate,oos_short_long_return_gap,oos_short_long_hit_gap,oos_split_avg_return_std,oos_split_hit_rate_std,oos_patience_run,oos_patience_run_ratio,oos_ewma_return,oos_split_mdd,score
"ma_pullback|fast=10,pullback_pct=-0.03,slow=120|hold=10",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.03, ""slow"": 120}",10,16,1.174512789573697,1.3713182177794452,-0.9903756569403795,0.35260907671060837,1.3944081740807255,-0.8959722881019281,0.0015876302066107834,0.4554970184536634,0.0921803179978752,36420.625,0.625,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,-0.002086432615189575,0.0015876302066107836,0.42819930781913823,0.4554970184536634,-0.0036740628218003587,-0.027297710634525185,0.005138379406890668,0.021832508805876446,3,0.1875,-0.00012763239187675238,-0.007406131562948226,0.06632543250501827
"ma_pullback|fast=10,pullback_pct=-0.04,slow=120|hold=10",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.04, ""slow"": 120}",10,16,1.0419401567790287,1.1300329642411215,-0.9914389817156446,0.254333581989781,1.0900256674374351,-0.9059090669364452,0.001594177148666467,0.4553351069186702,0.07945381612975085,31396.0,0.625,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,-0.0019072129455015444,0.0015941771486664672,0.42979948977077265,0.4553351069186702,-0.0035013900941680116,-0.025535617147897538,0.0051718013409158495,0.021442327029058676,3,0.1875,3.177629123153326e-05,-0.007610055229016255,0.013319455400269863
"ma_pullback|fast=10,pullback_pct=-0.03,slow=60|hold=10",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.03, ""slow"": 60}",10,16,0.9155333319910645,0.7116073295733835,-0.9923843985469228,0.29937882281003564,1.1964985816470255,-0.9029274483399615,0.0018446650743177806,0.45198186673468105,0.0803113204777527,31731.4375,0.5625,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,-0.0031029239210779978,0.0018446650743177808,0.41801070508735405,0.45198186673468105,-0.004947588995395779,-0.033971161647327,0.005805595755243162,0.023689684500163753,3,0.1875,-0.00011272551591065202,-0.011090493678360014,-0.006546582201047891
"ma_pullback|fast=10,pullback_pct=-0.04,slow=60|hold=10",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.04, ""slow"": 60}",10,16,0.7739813143211228,0.5198491830612395,-0.9934290553542556,0.2111764946976911,0.8812329653530815,-0.9177777456408139,0.0019662825728659922,0.45123295223815196,0.06780256987068137,26793.5625,0.5625,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,-0.0026194468731051135,0.001966282572865992,0.4195725580623962,0.4512329522381519,-0.004585729445971106,-0.031660394175755724,0.00588259440732572,0.023370471682915592,3,0.1875,0.0002986152589288741,-0.01004494862899008,-0.04494502234085761
"ma_pullback|fast=10,pullback_pct=-0.05,slow=120|hold=10",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.05, ""slow"": 120}",10,16,0.8472031629441331,0.7434648343388705,-0.9926874600872158,0.14302818877197057,0.7792723583310793,-0.915335002943268,0.001669009550256123,0.4552947468647334,0.06584179468387549,26019.75,0.625,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,-0.0018843336892973557,0.0016690095502561227,0.43011402309420593,0.4552947468647334,-0.0035533432395534782,-0.02518072377052749,0.005338099637923226,0.021946727012152938,3,0.1875,0.00010914366369596957,-0.00892210723568898,-0.04905067533227616
"ma_pullback|fast=10,pullback_pct=-0.05,slow=60|hold=10",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.05, ""slow"": 60}",10,16,0.5788361315592329,0.26117259286293715,-0.9935824806003778,0.0665140758790925,0.5724469487786625,-0.9307714964372734,0.0019904378378285143,0.45019924513052734,0.054996496725450254,21736.5,0.5625,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,-0.002312004222659061,0.0019904378378285143,0.41985554718663076,0.45019924513052734,-0.004302442060487575,-0.030343697943896575,0.006179951120062574,0.024150102190431507,3,0.1875,0.0006046230193672645,-0.009964135468939261,-0.12147422675279597
"ma_pullback|fast=10,pullback_pct=-0.03,slow=60|hold=5",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.03, ""slow"": 60}",5,16,0.32185214208568846,0.06043651025632975,-0.9554303969498513,-0.15667383966317494,0.06279404417810747,-0.7604758012523893,0.0001878285997103396,0.4609731345784745,0.08120587407822824,32085.0,0.5625,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,-0.0017396562558190103,0.00018782859971033957,0.43831765325792227,0.46097313457847444,-0.0019274848555293498,-0.022655481320552173,0.0026240127071861024,0.01582531258973868,3,0.1875,-0.0003177469984359156,-0.006156503719153772,-0.20072682074287448
"ma_pullback|fast=10,pullback_pct=-0.04,slow=60|hold=5",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.04, ""slow"": 60}",5,16,0.2174235298493264,-0.014696031673223475,-0.9603018947780246,-0.2182706867307047,-0.019458755260790724,-0.7793413779684142,0.00032711357080685233,0.4620081293815288,0.06853272060806216,27082.1875,0.5625,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,-0.0015586220091197455,0.00032711357080685244,0.43897311838385883,0.4620081293815288,-0.001885735579926598,-0.02303501099766997,0.0026545346766246774,0.01692151048690257,3,0.1875,-0.00010656286466074062,-0.005653893156924328,-0.2333417676664096
"bb_width_breakout|band_k=2.0,lookback=20,width_q=0.15|hold=10",bb_width_breakout,Volatility contraction breakout,"{""band_k"": 2.0, ""lookback"": 20, ""width_q"": 0.15}",10,16,0.1157190418619596,-0.48775863297119243,-0.9992603261421477,-0.18971494891163082,0.17417257338235498,-0.948963253527215,0.001104302433327644,0.44924926930932935,0.003271073568646656,1291.875,0.4375,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,5.3330790417530614e-05,0.0011043024333276443,0.43812892084974214,0.4492492693093293,-0.0010509716429101138,-0.011120348459587148,0.00587716645180701,0.01963136587348281,3,0.1875,0.0007539933125287792,-0.01669627133697782,-0.281173193761218
"ma_pullback|fast=10,pullback_pct=-0.05,slow=60|hold=5",ma_pullback,Trend pullback continuation,"{""fast"": 10, ""pullback_pct"": -0.05, ""slow"": 60}",5,16,0.0687374543267219,-0.11822151134613584,-0.9647301728006537,-0.32597957182661114,-0.09527725535140949,-0.8018122714666724,0.0003955071695656471,0.4622323066888236,0.05556773826458481,21962.3125,0.5625,2000-01-04..2008-01-03,2023-01-04..2025-01-03,disabled,-0.0014005558587071138,0.000395507169565647,0.43897870095517577,0.4622323066888236,-0.001796063028272761,-0.02325360573364782,0.0027931429125636854,0.017042750056397143,3,0.1875,9.010152374694087e-05,-0.005534366405221536,-0.2943564545591203
